Product Details,ASIN,Type,Lure Type,Size,URL,Image URL,Brand,Price  US$,ASIN Sales,ASIN Revenue,BSR,Ratings,Review Count,Images,Review velocity
"Fly Away Fruit Fly Liquid Lure - Trap Fruit Flies Fast. Safe Around Food. Fruit Fly Trap Indoor Bait for Kitchens, Restaurants, and Bars. Use Alone or as Refill for Fly Away Fruit Fly Trap Kit (12 oz)",B0CJ3Z5TKN,Lure,Trap,1,https://www.amazon.com/dp/B0CJ3Z5TKN?psc=1,https://m.media-amazon.com/images/I/71s7GjMv5NL._SX342_.jpg,Fly Away Product,12.14,428,"5,753.95","12,806",4.3,276,9,15
STEM Kills Fruit Fly Trap: Fruit Fly Catcher With Botanical Extracts; 5.4 fl oz (Pack Of 1),B09GD8T863,Lure,Trap,1,https://www.amazon.com/dp/B09GD8T863?psc=1,https://m.media-amazon.com/images/I/71A4S4LEW5L._AC_SY450_.jpg,STEM,6.82,781,"5,323.74","8,256",3.7,"1,966",14,10
Trappify Hanging Fly Traps Outdoor: Fruit Fly Traps for Indoors | Gnat Trap | Gnat Traps for House Indoor | Fly Trap Indoor - Disposable Sticky Fly Trap for Indoor House Pest Control (2 Pack),B08DMY3WWX,Sticky traps,,,https://www.amazon.com/dp/B08DMY3WWX?psc=1,https://m.media-amazon.com/images/I/71DG14XKAtL._AC_SX466_.jpg,Trappify,11.99,413,"4,952.36","5,128",4.2,"5,650",9,41
TERRO 2-Pack Fly Trap,B00E4GADNA,Lure,Trap,2,https://www.amazon.com/dp/B00E4GADNA?psc=1,https://m.media-amazon.com/images/I/71BTzFVbOkL._AC_SY355_.jpg,Terro,9.93,491,"4,875.64","8,424",4.1,"2,981",3,18
"Aunt Fannie's FlyPunch Fruit Fly Trap for Indoor and Kitchen Use, Ready to Use, Made with Plant Based Ingredients, Safe Near Food, Each Bottle Lasts Up to 30 Days, Pack of 12",B00W45Y3JI,Lure,Trap,12,https://www.amazon.com/dp/B00W45Y3JI?psc=1,https://m.media-amazon.com/images/I/81OM-t5+TQL._AC_SX569_.jpg,Aunt Fannie's,79.99,59,"4,756.39",828,3.9,"25,096",7,41
EPA Establishment No.100240-CHN-1 Fruit Fly Traps for Indoors: - Reusable Escape-Proof Trap and Powerful Fruit-Based Bait (2 x 60ml),B0GCCJFZ18,Lure,Trap,2,https://www.amazon.com/dp/B0GCCJFZ18?psc=1,https://m.media-amazon.com/images/I/71bLyVtZSTL._AC_SX679_.jpg,ELEGENZO,24.9,168,"4,181.45","13,028",5,43,9,0
"Qualirey 24 Pack Fruit Fly Trap Refill Liquid, 0.68oz Per Bottle Liquid Fruit Fly Traps for Indoors, Non Toxic Bait Safe Near Pets, Food and Kids, Lure Refill for Home Kitchen",B0D4DC2KGV,Lure,Refill,24,https://www.amazon.com/dp/B0D4DC2KGV?psc=1,https://m.media-amazon.com/images/I/81YLT3xX9OL._AC_SX569_.jpg,Qualirey,25.99,157,"4,090.37","6,064",4.4,659,8,28
Fruit Fly Traps for Indoors by Raid | 2 Lures + 2 Refills | Effective Fruit Fly Killer & Gnat Traps for House Indoor Use | Easy to Use & Safe Food-Based Lure Fly Catcher,B07WHKLYPW,Lure,Trap,2,https://www.amazon.com/dp/B07WHKLYPW?psc=1,https://m.media-amazon.com/images/I/81WJTbxHq6L._AC_SX522_.jpg,Raid,11.99,340,"4,072.12","15,667",3,"10,771",9,0
"Wondercide - Fruit Fly Trap for Kitchen, Home, and Indoor Areas - Fruit Fly Killer - Pet and People Safe - Made in USA & Plant Based - 5.4 oz",B099P3VMBM,Passive attractor,,,https://www.amazon.com/dp/B099P3VMBM?psc=1,https://m.media-amazon.com/images/I/71MWWAIIVYL._AC_SY450_.jpg,Wondercide,14.11,264,"3,716.89","5,110",3.5,"5,441",6,16
TERRO T2502 Ready-to-Use Indoor Fruit Fly Trap with Built in Window - 2 Traps + 90 day Lure Supply,B01JIRNEQW,Lure,Trap,2,https://www.amazon.com/dp/B01JIRNEQW?psc=1,https://m.media-amazon.com/images/I/81uiOPbkLRL._AC_SX466_.jpg,Terro,6.77,440,"3,025.44","17,037",4,"68,004",10,4
